Year,Buildings,Industry,Land use change and forestry,Fuel combustion,Transport,Manufacturing and construction,Energy production,Electricity and heat,Bunker fuels
1990,10961470003.79,1847469999.96,6851599671.1,3090459979.88,17112910045.960001,16387720148.369999,840640030.4,35632379598.0,2595630090.96
1991,11090489995.06,1907380028.3,6851509721.1,3095179967.67,17241300049.9,16012379986.45,909170007.4100001,36159171157.97,2628059999.7799997
1992,10614210000.01,2167650025.9700003,6851309717.1,2756339998.79,17556439672.12,15416619798.26,1078050000.0,36744279839.15,2767009960.31
1993,10854310009.619999,2249229999.9700003,6853039789.1,2819240031.98,17741929899.87,15201629972.41,1104249987.1,36855330068.7,2735220009.99
1994,10485809944.1,2404459973.9,6851700235.1,2703370005.94,18045020011.98,15279459965.99,1134569988.95,37259689937.65,2832000048.0699997
1995,10795959717.44,2543649979.94,6874499861.16,2509910030.97,18513070001.28,16198769841.45,1185790011.0,38003599500.1,2926470000.09
1996,11114779938.07,2592590007.91,6315550029.1,2228249997.74,19293199751.690002,15753659934.17,1260750023.43,39447768827.770004,3013150000.88
1997,10984739916.93,2697680059.3,9074790051.1,2416350009.49,19529849891.12,15849300223.99,1249869980.8,40466808999.86,3120010001.74
1998,10373250109.880001,2692159913.95,6851100125.1,2323630018.9300003,19964060326.92,15814839980.130001,1211600000.28,41328049995.479996,3212000030.49
1999,10642980104.18,2824480032.6400003,6466609931.5,2354750019.4700003,20487680198.989998,15148729999.82,1179559999.99,41511548569.17,3361190040.09
2000,10587379781.33,2950970027.99,6258700103.0,2126229946.88,21135409955.09,15862469983.86,1255470003.8600001,43105820302.14,3480360022.6
2001,10722819818.83,3077699978.6400003,5113189840.47,2168839949.44,21366910160.989998,15953540018.92,1216619998.98,44113050401.94,3357759949.88
2002,10697109941.43,3186850011.5,6605999893.26,2171890003.88,21869840545.5,15913430069.71,1152569990.78,44900520038.95,3493659979.87
2003,11059659906.84,3501930050.78,5518729965.059999,2238019919.2,22366970028.22,16672250009.66,1298229970.1,47355209194.75,3511870020.1099997
2004,11218679888.93,3659319991.11,6609650049.059999,2376459972.87,23281500090.67,18382499896.48,1234520000.99,48879680247.96,3813249999.95
2005,11218760148.96,3919790000.0,5787749980.559999,2460969998.98,23702239780.13,20042459875.65,1300700009.88,50364019525.9,4006849898.55
2006,11093590069.86,4272859994.82,6963540181.059999,2499839997.64,24165250100.63,20996949901.37,1222930030.0,52331808896.18,4219209928.36
2007,11011600129.96,4589450013.59,5255320092.559999,2506139976.99,24857789699.739998,22093189820.85,1167489999.8,54592740842.88,4417270000.940001
2008,11314659979.92,4641390120.12,5215009823.059999,2531610029.4,24833420308.13,22541239753.87,1111530001.0,54632390029.89,4474629929.99
2009,11098969838.369999,4754670125.96,6425609901.059999,2480150009.94,24400130293.260002,22404259920.47,1127650000.99,53704349104.37,4204529911.01
2010,11343749972.130001,5069909969.87,5266509857.559999,2543099970.0,25322610174.95,24588620099.86,1048389956.48,57317270934.44,4463860121.58
2011,11065700128.93,5444519948.690001,699670026.51,2483150004.45,25737769498.94,25505849949.09,1069289999.99,59716218794.66,4555079950.92
2012,10853069970.970001,5581279939.26,740160170.46,2571740015.2,26077160086.84,25580950153.879997,1076519988.3899999,60887040937.880005,4373090019.96
2013,11311509959.880001,5811979973.95,669210078.49,2601749999.4,26804229953.0,25677390706.79,1053380020.0,61904549796.380005,4386750019.440001
2014,11026990079.27,6044299968.15,1726749888.51,2580119986.5,27195799704.69,25941110375.82,1088050004.2,61580862084.0,4539300073.79
2015,11157960004.86,5826030050.74,1821539848.51,2574810035.98,27978550130.68,25382989430.739998,1102850004.46,60570059891.95,4750599978.48
2016,11329679969.23,5982320100.17,4546100161.91,2547549980.45,28463350073.850002,24763129310.3,1114950021.93,60569290261.97,4907759901.360001
2017,11585129910.380001,6071100119.82,4411820139.91,2557700050.38,29090189860.39,24514570030.39,1056609989.97,61914059155.81,5139370151.08
2018,11710089930.33,6321189980.05,4999410297.91,2507819990.0,29781649629.65,25087449818.58,1088450000.0,63646189348.44,5261660039.38
2019,11466660228.99,6521480007.54,5706809777.99,2400550029.05,29795729399.96,25093319524.16,1128409980.2,63310179658.18,5251939915.99
2020,11223699931.310001,6581349999.37,4510909814.01,2330729929.98,26161879706.7,24963560531.75,1070680000.09,60660459819.57,3705460008.96
